Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Программист 1С,Программист 1С,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/109705588?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,Ведущий инженер-программист,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/108310262?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Инженер-программист АСУ ТП,Инженер-программист АСУ ТП,https://tomsk.hh.ru/vacancy/109807420?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,Программист 1С,https://tomsk.hh.ru/vacancy/97100558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в IT-компанию,Программист 1С в IT-компанию,Программист 1С в IT-компанию,https://tomsk.hh.ru/vacancy/93180931?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,Программист 1С,https://tomsk.hh.ru/vacancy/108404165?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,Ведущий инженер-программист,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/110592980?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик С++,Backend-разработчик С++,Backend-разработчик С++,https://tomsk.hh.ru/vacancy/110283390?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Game Developer,Junior Game Developer,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/110621436?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер - программист 1С,Инженер - программист 1С,Инженер - программист 1С,https://tomsk.hh.ru/vacancy/108493874?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Математик-программист,Математик-программист,Математик-программист,https://tomsk.hh.ru/vacancy/109129045?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Erlang разработчик,Erlang разработчик,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/95684202?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Продакт Разработчик Python AI,Продакт Разработчик Python AI,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/110683187?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик,Инженер-разработчик,Инженер-разработчик,https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик (1С-Битрикс),PHP-разработчик (1С-Битрикс),Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/108407559?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,Программист 1С,https://tomsk.hh.ru/vacancy/108378003?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
SQL- разработчик,SQL- разработчик,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/110653659?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Инженер-программист АСУ ТП,Инженер-программист АСУ ТП,https://tomsk.hh.ru/vacancy/110375363?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик CAD систем (middle),C# разработчик CAD систем (middle),C# разработчик CAD систем (middle),https://tomsk.hh.ru/vacancy/110192074?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик,Ведущий разработчик,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/108442367?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++ в команду PMC,Разработчик C/С++ в команду PMC,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/107733323?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик С++ в Телеметрию,Инженер-разработчик С++ в Телеметрию,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/101116134?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++ middle/senior,Программист C++ middle/senior,Программист C++ middle/senior,https://tomsk.hh.ru/vacancy/110196353?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист C++,Инженер-программист C++,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/110196384?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик 1С:ERP (Томск),Ведущий разработчик 1С:ERP (Томск),Ведущий разработчик 1С:ERP (Томск),https://tomsk.hh.ru/vacancy/110627773?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Python-разработчик (строительный домен, микросервисная архитектура)","Python-разработчик (строительный домен, микросервисная архитектура)",Сейчас смотрят 13 человек,https://tomsk.hh.ru/vacancy/110697483?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист C++/Qt,Ведущий программист C++/Qt,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/110196380?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Python разработчик,Middle Python разработчик,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/80229280?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Kernel developer (Linux-like systems),Kernel developer (Linux-like systems),Kernel developer (Linux-like systems),https://tomsk.hh.ru/vacancy/88448241?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист сопровождения 1С (ИТ-компания),Специалист сопровождения 1С (ИТ-компания),Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/103104420?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
